a- alatt
corn-cure tyukszemirto
cornea szaruhartya
corned besozott
cornel som
corner buvohely
corner-kick korner
cornfield buzatabla
cornflakes kukoricapehely
corn-floor szeru
cornflour kukoricaliszt
cornhusk kukoricacsuhe
Cornish cornwalli
corn-plaster tyukszemgyuru
cornplaster tyukszemirto
corn-stalk kukoricaszar
cornucopia bosegszaru
corny elcsepelt
corollary folyomany
corona fenyudvar
coronation koronazas
coroner halottkem
corporal kaplar
corporate egyesitett
corporation pocak
corporative testuleti
corporeal anyagi
corps alakulat
corpse hulla
corpulence koverseg
corpulent kover
corpuscle korpuszkula
corral csereny
correct helyes
correction ellensulyozas
correctitude korrektseg
corrective javito
correctly helyesen
correctness helyesseg
correlation korrelacio
correlative korrelativ
correspondence egyezes
correspondent levelezo
corresponding egyezo
correspondingly egyezoen
corresponsive hozzaillo
corrida bikaviadal
corridor folyoso
corroborant hitelesito
corroboration alatamasztas
corroborative alatamaszto
corroboratory alatamaszto
corrosive korroziv
corrosivity korrozivitas
corrugation borda
corrupt erkolcstelen
corruption bomlas
corruptive bomlaszto
corruptness korruptsag
corset fuzo
cortege diszkiseret
cortex fakereg
corundum korund
cosh gumibot
cosine koszinusz
cosiness baratsagossag
cosmetic kozmetikai
cosmetician kozmetikus
cosmetics kozmetika
cosmic kozmikus
cosmonaut urhajos
cosmopolis vilagvaros
cosmopolitan kozmopolita
cosmopolitanism kozmopolitizmus
cosmopolite kozmopolita
cosmopolitical kozmopolitikai
cosmopolitism kozmopolitizmus
cosmos kozmosz
cost ar
costly draga
costume jelmez
cosy baratsagos
cot kempingagy
cotillion francianegyes
cotillon francianegyes
cottage villahaz
cottar zseller
cotter zseller
cotton gyapot
couch divany
cough kohintes
council tanacs
councillor tanacsos
councilor tanacsos
counsel javaslat
counsellor-at-law ugyved
counselor-at-law ugyved
count grof
countdown visszaszamlalas
countenance arckifejezes
counter- ellen-
counter haritas
counterattack ellentamadas
counter-balance ellensuly
countercurrent ellenaram
counter-current ellenaramu
counterdemostrator ellentunteto
counter-example ellenpelda
counterfeit hamis
counterfeiter hamisito
counter-jumper boltosseged
countermarch ellenmeneteles
counter-measure ellenintezkedes
countermeasure ellenintezkedes
counter-move ellenintezkedes
counter-offer ellenajanlat
counterpane agytakaro
counterpart alakmas
counterpoint ellenpont
counterproposal ellenjavaslat
counter-rail terelosin
countersign ellenjegyzes
counter-tool alatetszerszam
counterweight ellensuly
countess grofne
countless szamtalan
country orszag
countryside kornyek
countrywide orszagos
coup puccs
coupe felfulke
couple par
coupling asszociacio
coupon elelmiszerjegy
courage batorsag
courageous bator
courageously batran
courier futar
course eloadassorozat
coursebook tankonyv
courser versenylo
courses havibaj
court birosag
courteous elozekeny
courteously elozekenyen
courtesan kejno
courtesy elozekenyseg
courthouse birosag
courtier udvaronc
courtly elegans
courtmartial hadbirosag
court-martial hadbirosag
courtroom targyaloterem
courtship udvarlas
cousin hasonlo
cousinhood atyafisag
cousinly rokoni
cousinship unokatestverseg
cove alak
covelite kovellin
covenant egyezseg
cover biztositas
coverage kiterjedes
coverall kezeslabas
coveralls vedoruhazat
covered fedett
covering takaras
coverlet agytakaro
covert burkolt
cover-up alcazas
covetable kivanatos
covetous kapzsi
covetously kapzsin
covetousness birasvagy
cow ereszsator
coward gyava
cowardice gyavasag
cowardly gyava
cowcatcher bivalyharito
cowhide marhabor
cowl csuklya
cowled csuklyas
cowling motorburkolat
co-worker munkatars
cowpox tehenhimlo
cowshed tehenistallo
cowslip kankalin
coy felenk
coyly felenken
coyness felenkseg
coyote prerifarkas
coz unokatestver
cozily kenyelmesen
coziness baratsagossag
cozy baratsagos
crab besugo
crabbing avatas
crabby akaratos
crabs lapostetu
crack ajtonyilas
crack! bumm!
crackajack allati
crackdown lehordas
cracked bolondos
cracker csapo
crackerjack csinos
crackers diotoro
crackets ragnivalo
crackle repedezes
crackling recseges-ropogas
crackpot bolond
crackup idegosszeomlas
cradle bolcso
craft becsapas
crafted fortelyos
craftily fortelyosan
craftiness ravaszsag
craftwork ugyesseg
crafty fortelyos
crag begy
craggy markans
cramp alaktalan
cramped alaktalan
crampedness gorcsosseg
crampon betonkapocs
crampoon betonkapocs
cranberry tozegafonya
crane daru
crane-crab darucsorlo
crank bolonderia
crankcase forgattyuhaz
crankshaft fotengely
cranky bizonytalan
cranny hasadek
crap badarsag
crapbrain faszfej
craphouse budi
crapper klotyo
crappus klotyo
crappy ganes
craps kockajatek
crash arzuhanas
crash-helmet bukosisak
crash-landing kenyszerleszallas
crass durva
crassitude durvasag
crassly durvan
crassness durvasag
crassula varjuhaj
crate lada
crater krater
cravat kravatli
cravatted nyakkendos
craving sovargas
craw begy
crawl csuszas
crawler csuszomaszo
crawl-stroke kallozas
crawly viszketos
crayon pasztellkreta
crayon-holder ceruzatoldo
craze divat
crazed bogaras
craziness orulet
crazy bogaras
crazyhouse bolondokhaza
creak csikorgas
creaking csikorgo
creakingly csikorogva
creaky csikorgos
cream krem
creamer folozoedeny
creamery tejcsarnok
cream-puff buzi
creampuff buzi
creamy elefantcsontszinu
crease el
creased gyurott
creation alkotas
creative alkoto
creativeness alkotokeszseg
creativity kreativitas
creator alkoto
creature allat
credence hihetoseg
credentials megbizolevel
credenza kredenc
credibility hihetoseg
credible hiheto
credit becsulet
creditable hitelkepes
creditor hitelezo
credo hiszekegy
credulity hiszekenyseg
credulous hiszekeny
creed hiszekegy
creek patak
creep buvolyuk
creeper futonoveny
creepily hatborzongatoan
creeps borzongas
creepy hatborzongato
creepy-crawly borzongato
cremation elhamvasztas
cremator halotthamvaszto
crematory halottegeto
crenelated csipkezett
crenellated csipkezett
Creole kreol
creosote karbolsav
crepe gyaszfatyol
crescent felhold
cresol krezol
crest cimer
crestfallen csuggedt
Cretaceous kretaszeru
cretin hulye
cretonne kreton
crevice hasadek
crew banda
crewcut kefehaj
crib kisagy
cribs puska
crick randulas
cricket krikett
cricketer krikettjatekos
crikey! ejha!
crime buncselekmeny
criminal bunos
crimp hullamossag
crimson karmazsin
cringe hajlongas
crinkle ranc
crinkled gyurott
crinkly fodros
crinoline abroncsszoknya
cripple bena
crippled bena
criptically jelkepesen
crisis krizis
crisp eles
crisply hatarozottan
crisps burgonyaszirom
crispy csipos
criss-cross baratsagtalan
crisscross cikkcakk
criss-cross-row abece
critic kritikus
critical biralo
criticism kritika
critter flotas
croak brekeges
Croat horvat
crochet horgolas
crock cserepdarab
crockery cserepedeny
crocodile krokodil
crocus safrany
croft kisberlet
crofter kisberlo
crone banya
crony haver
crook csalo
crooked gorbe
crookedly alattomosan
crookedness aljassag
crop begy
croquet krokett
cross akadaly
crossbar kerekparvaz
crossbow szamszerij
cross-checks osszevetes
crosscurrent keresztaram
cross-examination keresztkerdezes
cross-fire kereszttuz
cross-guard keresztvas
crossing athaladas
crossly ingerulten
crossness mogorvasag
crosspiece keresztidom
cross-question keresztkerdes
crossroads utkeresztezodes
crosswalk gyalogatkelohely
crotch csuzli
crotchet horog
crotchety bogaras
crouch lekuporodas
crow bontovas
crow's-nest arbockosar
crow-bar bontovas
crowbar feszitovas
crowd banda
crowded tomott
crowing gagyogas
crown csucs
crows hollofelek
crucial donto
crucible olvasztotegely
crucifix feszulet
crude durva
crudity nyerseseg
cruel kegyetlen
cruelly kegyetlenul
cruelty kegyetlenseg
cruiser cirkalo
cruiser-carrier repulogepanyahajo-cirkalo
cruiser-tank harckocsi
cruiser-weight kozepsuly
cruising cirkalo
cruive karam
crumb kenyerbel
crumbling morzsolodo
crumbs fergek
crummy ciki
crumpet fej
crumpled gyurott
crumpling osszezsugorodas
crunch csikorgas
crunchy csikorgo
crush osszemorzsolas
crusher csapas
crushing lesujto
crust heg
crusted heges
crusty fanyar
crutch manko
crux bokkeno
cry kiabalas
crybaby bogomasina
crying egbekialto
cryo- hideg-
cryogen hutoanyag
cryogenic huto
crypt altemplom
cryptic kriptaszeru
cryptically jelkepesen
crystal flintuveg
crystal-electricity piezoelektromossag
crystal-gazer kristalynezo
crystal-lattice kristalyracs
crystalline kristalyos
crystallite kristallit
crystallizable kristalyosodo
crystallization kikristalyosodas
crystallogenesis kristalykepzodes
crystallographic kristalytani
crystallography kristalytan
crystalloid kristalyszeru
crystallometry kristalymeres
cub allatkolyok
cubbyhole buvohely
cube hatlap
cubic kob-
cubical kob-
cubicle alkov
cubism kubizmus
cubist kubista
cuckoo kakukk
cucumber uborka
cuddle oleles
cuddly olelnivalo
cudgel bunkosbot
cue beintes
cuff arculutes
cuff-links inggomb
cufflinks kezelogombok
cuisine konyha
cul-de-sac zsakutca
culinary etkezesi
cullender szuro
cullet uvegcserep
culmination betetozes
culpability bunosseg
culpable bunos
culpableness bunosseg
culpably buntetendoen
culprit bunos
cult kultusz
cultivatable megmuvelheto
cultivated kulturalt
cultivation foldmuveles
cultivator foldmuvelo
cultural kulturalis
culture bakteriumtenyeszet
cumbersome faradsagos
cummerbund ovkendo
cumulative felhalmozott
cumulonimbus gomolyfelho
cunning aranyos
cunt pina
cup csapagycsesze
cup-bearer poharnok
cupboard konyhaszekreny
cup-final kupadonto
cupful cseszenyi
cupidity kapzsisag
cupola kupola
cur korcs
curate agymelegito
curate-in-charge lelkesz
curative gyogy-
curator gondnok
curb akadaly
curbside jardaszegely
curd aludttej
curfew takarodo
curing besozas
curio ritkasag
curiosity erdekesseg
curious furcsa
curl csavarodas
curler hajcsavaro
curlicue cirkalom
curlicued cirkalmas
curling-irons hajsutovas
curly gondor
currant ribiszke
currant-bush ribiszkebokor
currency penznem
current altalanos
currently jelenleg
curriculum tananyag
currier timar
curry curry
curse atok
cursed atkozott
cursing atkozodas
cursor csuszka
cursory feluletes
curst atkozott
curt kurta
curtailment csokkentes
curtain bastyakor
curtained fuggonyos
curtly kurtan
curtsey meghajlas
curtsy meghajlas
curvature gorbulet
curve fuggvenyabra
curved gorbe
cushion diszparna
cushioned letompitott
cuspidor kopocsesze
cuss alak
cussed komisz
cussedness komiszsag
custard sodo
custodian gondnok
custody felugyelet
custom szokas
customarily szokasszeruen
customary szokasos
customer fogyaszto
customs vam
cut arok
cutaneous bor-
cutaway kivagott
cutback csokkentes
cut-back fizetescsokkentes
cute agyafurt
cuteness agyafurtsag
cuticle felham
cuticular felham-
cutie aranyoskam
cutler keses
cutlery evoeszkoz
cutlet bordaszelet
cut-off atvagas
cutoff atvagas
cut-offs hulladek
cutout kivagott
cutter filmvago
cutthroat briganti
cutting bevagas
cuttings hulladek
cuttlefish tintahal
cutty kurta
cutty-stool samli
cyanide cianid
cyanosis elkekules
cyanotic elkekult
cybernetic kibernetikai
cybernetician kibernetikus
cybernetics kibernetika
cycle bringa
cyclic ciklikus
cyclical ciklikus
cycling biciklizes
cyclist biciklista
cyclo- kor-
cyclopaedia enciklopedia
cyclopropane ciklopropan
Cyclops ciklopsz
cylinder henger
cylindrical hengeres
cymbal cintanyer
cynical cinikus
cynicism cinizmus
cynism cinizmus
cypress ciprusfa
cypress-grove ciprusliget
cypress-plantation ciprusultetveny
cytoplasm citoplazma
cytoplasmic citoplazma-
Czecho-Slovak csehszlovak
Czechoslovak csehszlovak
Czecho-Slovakia Csehszlovakia
Czechoslovakia Csehszlovakia
Czecho-Slovakian csehszlovak
Czechoslovakian csehszlovak
